misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,224,-1.2735862551733506,0.24268740341067313,-0.0015073129907250404,0.1919841032475233
40,14760,229,-0.6598722875118256,0.4098781108856201,-0.00451025664806366,0.10679244287312031
60,21960,233,0.7884512829780579,0.375559364259243,-0.005114863440394401,0.14803197290748357
80,29160,233,1.0322507667541503,0.7338444471359253,-0.006593175581656396,0.30123263150453566
100,36360,236,-0.09515429198741913,0.7010550558567047,-0.0030833296477794647,0.008834965294227004
120,43560,238,-0.13719695389270783,0.7178784430027008,-0.00431099534034729,0.10926991645246745
140,50760,239,-0.43914807617664336,0.770208352804184,-0.00655973581597209,0.08465293133631349
160,57960,238,-1.0667826020717621,0.9668796062469482,-0.007384388661012054,0.004975344601552934
180,65160,238,-0.7258716660737992,0.7375212252140045,-0.011526070907711983,0.07714347707806155
200,72360,237,-0.8465187311172485,0.617159178853035,-0.006821442767977715,0.2706359334290028
220,79560,237,-1.0499943166971206,0.6773869097232819,-0.006392001360654831,0.11062613986432553
240,86760,236,-0.8211466711759567,0.8245019435882568,-0.0034978424198925497,0.03707930166274309
260,93960,237,-0.5866727483272552,0.7654452204704285,-0.0036091217771172523,0.25780135542154314
280,101160,237,0.31935508251190187,0.9937453925609588,-0.0026778124272823335,0.02793444935232401
300,108360,237,-0.11933249711990357,0.8318247616291046,-0.006346474587917328,0.10425964435562492
320,115560,238,-0.769499546289444,0.7776890635490418,-0.010044204210862518,0.048169770184904336
340,122760,239,-1.4620935654640197,0.7641287803649902,-0.006007617712020874,0.01551414979621768
360,129960,239,-1.6504546582698822,0.7045886516571045,-0.005678413808345795,0.016266727028414606
380,137160,239,-1.7782251596450807,0.8879777133464813,-0.005030054971575737,0.07707360405474901
400,144360,239,-1.781087847352028,0.7143330812454224,-0.00470910370349884,0.011809354170691223
420,151560,240,-1.7811842155456543,0.3775082267820835,-0.004429668188095093,0.010280774789862335
440,158760,240,-1.676579430103302,0.4630470722913742,-0.00040637291967868803,0.055052222404628995
460,165960,240,-1.4852042770385743,0.5931389182806015,-0.0015155598521232605,0.016650141577702015
480,173160,240,-1.490543645620346,0.7750168919563294,-0.0012169808149337768,0.07625311444280669
500,180360,241,-1.4907124507427216,0.6486908555030823,-0.006662758626043796,0.002491170651046559
520,187560,241,-1.50578737616539,0.3771682858467102,-0.005674304906278849,0.0006225457647815347
540,194760,241,-1.258122171163559,0.5080031424760818,-0.003195362538099289,0.00040081134357023985
560,201960,242,-1.1366449397802354,0.29256937503814695,-0.0030365221202373503,0.00020301055337768048
580,209160,242,-0.9021051037311554,0.24600231349468232,-0.0038716524839401247,0.07759697564179077
600,216360,243,-0.6318521076440811,0.21106626838445663,-0.0016911223530769349,0.00020323990029282867
620,223560,243,-0.39921692430973055,0.13016323130577803,-0.0015326691209338605,0.0006584475544514134
640,230760,244,-0.2289893388748169,0.18683725595474243,-0.0013287957757711411,0.00039806260465411467
660,237960,244,-0.5845921576023102,0.6140340030193329,-0.008146187663078308,0.15827831937931477
680,245160,245,-0.8320627015829086,0.42898967266082766,-0.0031154215335845946,0.09792053641285747
700,252360,245,-0.8298585432767868,0.28241820484399793,-0.0032792467391118407,0.00042309077543905004
720,259560,245,-0.6930275589227677,0.1540002360008657,0.0005624905228614807,9.640824755479116e-05
