misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,227,0.44675154016728985,0.42057943642139434,-0.004839423298835755,0.3447547938674688
40,14760,228,0.42969038128852843,0.3966003358364105,-0.0026518892496824264,0.5650957733392715
60,21960,229,0.926297173500061,0.4108244016766548,0.00017147064208984376,0.32644651308655737
80,29160,228,0.11520843505859375,0.4430069178342819,-0.0028444528579711914,0.10689665973186493
100,36360,228,-0.24587295770645143,0.4907529830932617,-0.005892559699714184,0.46701827049255373
120,43560,229,0.44366239666938784,0.47240743041038513,-0.006997236097231507,0.594284063577652
140,50760,230,0.8600554698705674,0.3287141412496567,-0.001544659212231636,0.4234392285346985
160,57960,231,1.312396621108055,0.3241643965244293,-0.0031596860848367215,0.31366603896021844
180,65160,231,0.8683314418792725,0.4602620601654053,-0.006344879418611527,0.08145199534483254
200,72360,231,0.7704089933633804,0.38664228320121763,-0.0027945827692747115,0.10569278988987207
220,79560,231,1.2690763384103776,0.3623381495475769,-0.0029113441705703735,0.028935435507446528
240,86760,231,1.052050794363022,0.4313127934932709,-0.003936424478888511,0.2330503533128649
260,93960,232,0.9421381795406342,0.5752523213624954,-0.0031924694776535034,0.2854255909100175
280,101160,233,1.3097788441181182,0.6922981381416321,-0.004491224512457847,0.09246590621769428
300,108360,233,1.3780274891853332,0.7383424162864685,-0.004142672568559646,0.04348277086392045
320,115560,233,1.3078012710809708,0.5161292344331742,-0.003998484835028649,0.10318233910948038
340,122760,233,1.3566352719068526,0.4646556586027145,-0.0049467962817288935,0.1355392724275589
360,129960,232,1.17273811429739,0.438609367609024,-0.0013306083157658577,0.3097266361117363
380,137160,232,0.7013830620050431,0.4203970581293106,-0.005273151863366366,0.15020766360685228
400,144360,231,-0.29075571298599245,0.4931100606918335,-0.006430700141936541,0.20738542973995208
420,151560,231,-0.49799845695495604,0.5617442965507508,-0.0004938656697049737,0.141194000095129
440,158760,231,-0.02246645271778107,0.6083916932344436,-0.0012079626205377281,0.11728087021037936
460,165960,231,-0.16263829946517944,0.7965338051319122,-0.0033311134204268454,0.10147215835750104
480,173160,231,-0.48727702975273135,0.6732142031192779,-0.015005096793174744,0.16538645327091217
500,180360,232,-0.13506671965122222,0.7082512617111206,-0.002672627568244934,0.21987613737583162
520,187560,232,0.4858954465389252,0.7911596357822418,-0.006224964279681444,0.17062403298914433
540,194760,232,1.2556867480278016,0.46487722396850584,-0.01140538975596428,0.06650534849613905
560,201960,232,1.6591083884239197,0.5135610640048981,0.015011155977845192,0.006148109619971365
580,209160,232,1.5673451387882233,0.3279201328754425,-0.008543875627219677,0.009227459994144737
600,216360,232,2.158424543142319,0.34777590036392214,-0.0032456770539283754,0.007673229696229101
620,223560,232,2.425373091995716,0.4588691174983978,-0.010069701075553893,0.015719098132103683
640,230760,231,2.208914921581745,0.382390969991684,-0.00982038474176079,0.0111303907353431
660,237960,231,2.3351436960697174,0.40574971139431,-0.010871865169610829,0.003823026898317039
680,245160,231,2.147426541149616,0.6891848385334015,-0.006723760440945625,0.06282584760338068
700,252360,231,1.3140155363082886,0.6921281933784484,-0.011257880926132202,0.15931667424738408
720,259560,231,1.5179321619868278,0.615718787908554,-0.006830760894808918,0.03733786214143038
740,266760,231,1.438482345342636,0.7057196736335755,-0.006451630778610706,0.011755292350426317
760,273960,232,1.7615722072124482,0.29130357056856154,-0.003289364278316498,0.007884464040398598
780,281160,231,2.481914487183094,0.22553979009389877,-0.004320131428539753,0.009965519327670336
800,288360,231,2.3659138077497484,0.2259026736021042,-0.004538330715149641,0.025622151512652635
820,295560,231,2.8488957116007807,0.4577679127454758,-0.004655899107456207,0.013239613035693765
840,302760,231,2.120598619580269,0.5988807499408721,-0.007850030809640885,0.00862944161053747
860,309960,231,1.5091336753964424,0.5808500945568085,-0.003551328182220459,0.34082491737790405
880,317160,231,1.5025175720453263,0.6307740449905396,-0.00770406574010849,0.10228063496761024
900,324360,231,1.5894300889968873,0.6912318587303161,-0.008742816786980256,0.3201103011146188
920,331560,231,1.1642477732896805,0.6245288759469986,-0.003114775102585554,0.1318221098743379
