misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,219,-0.40695267064230783,0.4808773934841156,-0.01319695096462965,0.1553067561239004
40,14760,221,-0.7926136124424819,0.6156050443649292,-0.006217052042484283,0.2546178579330444
60,21960,224,-0.9739145934581757,0.634690010547638,-0.00682312399148941,0.05988111377228052
80,29160,224,-1.1809299290180206,0.6445560216903686,-0.002781887911260128,0.10467221289873123
100,36360,227,-0.9522281521558762,0.6566482305526733,-0.006937198340892792,0.09861989114433527
120,43560,229,-0.40278168201446535,0.6824969053268433,-0.005553676001727581,0.10383207034319639
140,50760,230,-0.054624887704849245,0.743692296743393,-0.0047856375575065615,0.1914657697081566
160,57960,231,-0.10649444043636322,0.8273852884769439,-0.006105936784297228,0.23532178699970246
180,65160,231,-1.2383294653892518,0.7374698281288147,-0.004843956232070923,0.22101218476891518
200,72360,230,-0.7854409420490265,0.24230749011039734,-0.0002554073929786682,0.17396705821156502
220,79560,229,-0.6581787812709808,0.455539408326149,-0.0006786715239286423,0.33279338479042053
240,86760,229,-1.30408611536026,0.36283004730939866,-0.007540175318717956,0.044260052498430014
260,93960,231,-0.7098191821575165,0.2446081668138504,-0.0026350699365139006,0.39271776378154755
280,101160,233,-1.0535664582252502,0.3346474602818489,-0.007613371685147285,0.025688281282782555
300,108360,234,-1.462424545288086,0.10714238658547401,-0.00021537467837333678,0.05755500802770257
320,115560,235,-1.4215875005722045,0.26294587552547455,-0.0023341293446719645,0.06151187010109425
340,122760,236,-1.6043900597095488,0.5518528282642364,-0.00201839916408062,0.10082871811464429
360,129960,237,-1.54396332859993,0.36278729885816574,-0.0006357774138450623,0.0399419978260994
380,137160,238,-1.6943988013267517,0.36423889398574827,-0.004867504630237818,0.14112936332821846
400,144360,239,-1.8333776998519897,0.4937101945281029,-0.00236874595284462,0.009252412104979157
420,151560,240,-1.3813062059879302,0.8223371922969818,-0.0026552803814411164,0.09310295451432467
440,158760,240,-0.8047688186168671,0.6857653498649597,-0.002017758786678314,0.42368013598024845
460,165960,239,-1.2892031180858612,0.7387360751628875,-0.0036240305518731473,0.1971436247229576
480,173160,239,-1.7415688025951386,0.4788194626569748,-0.0017660566605627536,0.08831029161810874
500,180360,238,-1.3600157010555267,0.5302052468061447,-0.003443979099392891,0.0800262201577425
520,187560,238,-1.2009898042678833,0.6558927237987519,-0.00342578727286309,0.024577675387263298
540,194760,237,-0.9520196652412415,0.35659268498420715,-0.0029442854225635528,0.28202214390039443
560,201960,236,-1.2894080519676208,0.5494173735380172,-0.001038038730621338,0.08688587080687285
