misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,49,-1.4145710070927937,0.3768491506576538,0.013334201462566853,0.09553154036402703
40,14760,49,-1.172081739011437,0.3752576977014542,-0.0015721395961008967,0.2942004844546318
60,21960,50,-0.45407033145427705,0.33024384677410124,-0.002689245529472828,0.26237664371728897
80,29160,50,-0.1154121845960617,0.338558429479599,-0.004417906701564789,0.5584847301244735
100,36360,50,-0.5890286898612976,0.30139599144458773,-0.006019290164113044,0.26686484813690187
120,43560,50,-0.9198445177078247,0.37048701345920565,-0.0050127899274230005,0.48580166772007943
140,50760,50,-0.702523159980774,0.43730050325393677,-0.0007608380168676376,0.38497506983112545
160,57960,51,-0.30188499212265013,0.14108320102095603,-0.001899372786283493,0.12664475459605457
180,65160,51,-0.00027704715728759765,0.5030256927013397,-0.0050598987290868536,0.02015558509156108
200,72360,52,-0.09736350178718567,0.41721891760826113,-0.0026606534142047168,0.0049326038511935625
220,79560,52,0.8185309213399887,0.49968150854110716,-0.005462686158716678,0.07308775745332241
240,86760,52,0.5815991324186325,0.6130481779575347,-0.008069745055399835,0.6244173236191273
260,93960,52,-0.10932931661605835,0.48350650370121,-0.0045849144458770755,1.1199222266674043
280,101160,52,-0.46833304524421693,0.5414866894483567,-0.004931781068444252,0.19588503539562224
300,108360,51,-1.2273845875263214,0.45502415001392366,-0.002390410751104355,0.31248168721795083
320,115560,51,-1.0019054019451141,0.6023851364850998,-0.003728600172325969,0.37901540510356424
340,122760,50,-1.295588001012802,0.4942358165979385,-0.0011833645403385162,0.409883950650692
360,129960,51,-0.8591420954465866,0.5277198284864426,-0.004207663796842098,0.0974775904789567
380,137160,51,-0.2083076697587967,0.7942809641361237,-0.006538195349276066,0.03612951645627618
400,144360,51,0.48582518339157105,0.8091440856456756,-0.012405541259795427,0.020822830311954022
420,151560,51,0.15020466685295106,0.7165533423423767,-0.0047555997967720035,0.13958708420395852
440,158760,51,0.17599796175956725,0.833118098974228,-0.006176528707146645,0.16169020605739207
460,165960,51,0.059821181297302246,0.8255684673786163,-0.006870086956769228,0.27961213514208794
480,173160,51,0.3179884874820709,0.8415770113468171,-0.004392889514565468,0.15306215584278107
500,180360,51,0.40365726113319395,0.8588571727275849,-0.005556782381609083,0.13261009510606528
520,187560,51,-0.08313981652259826,0.7571662247180939,-0.0023459743708372114,0.22356376741081477
540,194760,51,-0.4125657892227173,0.9299667716026306,-0.004798077791929245,0.05458696810528636
560,201960,51,0.1530911809206009,0.7845532059669494,-0.0059251939877867695,0.45862333178520204
580,209160,51,-0.015338373780250549,0.7681730031967163,-0.007941573858261108,0.34122423082590103
600,216360,51,0.24757599830627441,0.5916252732276917,-0.0049019262194633486,0.1839107608422637
620,223560,51,0.38763695120811464,0.6262348651885986,-0.0021239975467324257,0.5466358244419098
640,230760,51,0.6976812118291855,0.7280912101268768,-0.003157540038228035,0.13973126858472823
660,237960,51,0.41616270124912264,0.5902932316064835,-0.006501831114292145,0.08420668989419937
680,245160,51,0.6165558260679245,0.740624076128006,-0.004277943819761276,0.04685364793986082
700,252360,51,0.45957105815410615,0.6371888756752014,-0.002065886557102203,0.1026807582937181
720,259560,51,0.6447685086727142,0.6091194778680802,-0.006317889736965299,0.03518491885624826
740,266760,51,0.7821738666296005,0.6189214646816253,-0.0046462580561637875,0.053348379163071516
760,273960,51,0.6049656945466996,0.6233548820018768,0.0002830140292644501,0.1637955796555616
780,281160,50,0.4472040456533432,0.49778696298599245,-0.004284447804093361,0.10844473864417523
800,288360,50,0.8357227218151092,0.5653200268745422,-0.0058526798151433464,0.11655188370496035
820,295560,50,1.0110700312256813,0.5498360186815262,-0.010808502137660981,0.15606587207876146
840,302760,50,1.637467192709446,0.67880899310112,-0.007209650054574013,0.009761211671866476
860,309960,50,2.272000676691532,0.5393730342388153,-0.006548153655603528,0.09887040527537465
880,317160,51,2.4158090779185297,0.8812225341796875,-0.011680018156766891,0.06687047500163316
900,324360,51,2.3308814710378645,0.6782641649246216,-0.008163495734333993,0.034960571210831404
920,331560,51,1.9322756654024125,0.5682729721069336,-0.01166326142847538,0.18355897739529609
940,338760,51,1.796630361676216,0.28110555857419967,-0.002468662231694907,0.0020921397255733607
960,345960,51,1.6661037930846214,0.47627611458301544,-0.0027377625927329065,0.02807333613745868
980,353160,51,2.020162144005299,0.3474943459033966,-0.0025791309773921965,0.03496613949537277
1000,360360,51,2.199954306781292,0.28570609390735624,-0.009052133094519377,0.008095410838723182
1020,367560,51,2.057095622718334,0.1317029796540737,-0.006972305802628398,0.16017430387437342
1040,374760,51,2.2272987294197084,0.30532302558422086,-0.005193802341818809,0.016787422820925713
1060,381960,51,2.114334542155266,0.2313201308250427,-0.007969912933185696,0.015943860402330756
1080,389160,51,1.9209499169886113,0.41063384115695956,0.0014816220849752427,0.005988847953267396
1100,396360,50,1.214759709686041,0.3544036626815796,-0.004063879465684294,0.24003137201070784
1120,403560,51,0.9738520123064518,0.4233653128147125,-0.00857685636729002,0.26596358269453046
1140,410760,51,1.3249464130401611,0.42303219735622405,-0.010045844316482543,0.3944127209484577
1160,417960,51,1.3785606944561004,0.5468847781419754,-0.010804735124111176,0.4420408450067043
1180,425160,51,1.7353900837898255,0.5939441442489624,-0.011799363617319614,0.09330091960728168
1200,432360,51,1.1721462953090667,0.3827496230602264,-0.004138743598014116,0.18044125773012637
1220,439560,51,0.7978174471855164,0.38514132499694825,-0.010050152905751019,0.05216204933822155
1240,446760,51,1.0429767513275146,0.40126287639141084,-0.00520872175693512,0.053745211102068424
1260,453960,51,1.7971684968471526,0.5832751452922821,-0.003605540841817856,0.04366162363439798
1280,461160,51,1.8514830005168914,0.43169870376586916,-0.014028507471084594,0.1382566962391138
1300,468360,51,2.1259478521347046,0.4572909653186798,-0.002595619857311249,0.14132561217993497
1320,475560,51,2.5352403593063353,0.33305883705615996,-0.009772846102714538,0.007433889352250844
1340,482760,51,2.274435904920101,0.31083173155784605,-0.0053614858537912365,0.02694940660148859
1360,489960,51,2.501334919631481,0.23433250784873963,-0.0037086989730596544,0.017228903621435164
1380,497160,51,2.390849601328373,0.41282217800617216,-0.010825817775912582,0.022341777267865837
1400,504360,51,2.3239205166697503,0.33911308348178865,-0.0017775580286979674,0.23933862000703812
1420,511560,51,2.9056497955322267,0.10566718876361847,-0.0030023261904716493,0.0013908965542213992
1440,518760,51,2.0344951498508452,0.340798182785511,-0.008794334903359412,0.06838703788816929
1460,525960,51,1.157523546218872,0.3727447986602783,-0.003488515969365835,0.16872692462056876
1480,533160,51,1.580942034125328,0.2403432995080948,-0.008121665567159653,0.0601303867995739
1500,540360,51,1.7552680230140687,0.42390201687812806,-0.009004722815006971,0.010646105324849487
1520,547560,51,0.29855546057224275,0.34745111018419267,-0.004868391528725624,0.05390899246558547
1540,554760,51,-0.4947689652442932,0.2575665473937988,-0.0008876271545886994,0.7447842083871364
1560,561960,51,-0.08393973231315613,0.2977053374052048,-0.002206003665924072,0.3372035972774029
1580,569160,51,0.7100191509723663,0.29844132661819456,-0.0033836052753031254,0.009224561834707856
1600,576360,51,1.2996163719892502,0.13772539645433426,-0.0024663418531417846,0.08684689610963688
1620,583560,51,2.233445675969124,0.16624234914779662,-0.004230711236596107,0.08612702749669551
1640,590760,51,2.604371545314789,0.34454314410686493,-0.007725937338545918,0.10934825167059899
1660,597960,51,2.5910176914930343,0.5049955904483795,-0.004855440929532051,0.16881452538073063
1680,605160,51,2.2564548653364183,0.43262181282043455,-0.008083643764257431,0.07280283756554126
1700,612360,51,1.9534327882528304,0.35822980999946596,-0.005306769046001136,0.05436812788248062
1720,619560,51,1.67407071352005,0.1818627491593361,-0.004975397139787674,0.023246306786313654
1740,626760,51,2.030037877559662,0.31006284803152084,-0.006643781438469887,0.018391983397305012
1760,633960,51,2.0006482911109926,0.35356472432613373,-0.0024691760540008546,0.07828547526150942
1780,641160,51,2.2779135501384733,0.427598175406456,-0.005240479344502091,0.020944137964397667
1800,648360,51,1.7171709823608399,0.3927561640739441,-0.004027114529162645,0.48248001635074617
1820,655560,51,1.103515486717224,0.3565329104661942,-0.002061089128255844,0.054715339979156855
1840,662760,51,0.8833500880002976,0.3820515364408493,-0.011053857952356338,0.06382338386029004
1860,669960,51,1.1605323088169097,0.24151628613471984,-0.006980690360069275,0.02323846167419106
1880,677160,51,1.4255118191242218,0.18273513093590737,-0.005532971024513245,0.00712349166860804
1900,684360,51,1.2733343935012817,0.36534811109304427,-0.00039556175470352174,0.07412866661325097
1920,691560,51,1.8774114799499513,0.17739956676959992,-0.010349871963262558,0.10622607003897429
1940,698760,51,2.125732671022415,0.15079726800322532,-0.004168909788131714,0.33659197986125944
1960,705960,51,2.269583097100258,0.09430514238774776,-0.006226087361574173,0.006932759622577578
1980,713160,51,2.009813892841339,0.12185881212353707,-0.0037507459055632353,0.005038956680800765
2000,720360,51,1.7571569854021072,0.17582915276288985,-0.0042390033137053255,0.019658821821212768
2020,727560,51,1.9996974295377732,0.3789270967245102,0.0024102889001369476,0.20897351130843161
2040,734760,51,2.1822475683689118,0.26263430863618853,-0.007020736043341458,0.018829625844955445
2060,741960,51,2.0713887345790862,0.4168050795793533,-0.012290444970130921,0.046745591517537835
2080,749160,51,2.000228453874588,0.22143946960568428,-0.0014319673180580139,0.02891136324033141
2100,756360,51,1.8169242030382156,0.33721505403518676,-0.006546431221067905,0.15180295333266258
2120,763560,51,1.4976095402240752,0.3711892604827881,0.003698164480738342,0.015779781714081766
2140,770760,51,0.9514200097322464,0.43735591769218446,-0.0029289986938238143,0.7199168592691422
2160,777960,51,1.0076572322845458,0.5153055220842362,-0.009114444069564343,0.10411812122911215
2180,785160,51,1.0115883034467696,0.5678199768066406,-0.00854022428393364,0.3639569230377674
2200,792360,51,1.03089211165905,0.6561448812484741,-0.005227881669998169,0.18378655659034848
2220,799560,51,1.104222336411476,0.5352822661399841,-0.0006447330117225647,0.05370905947638675
2240,806760,51,1.4542630803585053,0.3836647689342499,-0.006446351110935211,0.030750404205173255
2260,813960,51,2.3728261470794676,0.5349026918411255,-0.011465046275407075,0.01863466508220881
2280,821160,51,1.9491463124752044,0.41002400517463683,-0.004246026277542114,0.16578835509717466
2300,828360,51,2.22356568813324,0.43930726647377016,-0.006637714058160782,0.02517846869304776
2320,835560,51,2.0938355880975723,0.47094725966453554,-0.00104665607213974,0.09450327777303755
2340,842760,51,2.0972338515520095,0.3992119193077087,-0.0034246489405632017,0.019209609110839666
2360,849960,51,2.234314489364624,0.41549124121665953,-0.010508345440030098,0.0053511730133322995
2380,857160,51,1.9771702003479004,0.1761050246655941,-0.0034500375390052796,0.01065844325348735
2400,864360,51,0.8487432593107224,0.7154821932315827,-0.01507597491145134,0.12750647384673358
2420,871560,51,0.23187105774879455,0.5186091601848603,-0.007351388037204742,0.03414153177291155
2440,878760,51,0.7822637295722962,0.595663133263588,-0.003825491003226489,0.060394635796546935
2460,885960,51,0.9430725181102753,0.6487314999103546,-0.010890614986419678,0.2872431240044534
2480,893160,51,0.719203724861145,0.6025736033916473,-0.009088550508022309,0.04027061350643635
2500,900360,51,0.8240285354852677,0.4566877692937851,-0.005087230354547501,0.045586641412228346
2520,907560,51,0.6681455582380295,0.7762406408786774,-0.0043750151991844176,0.0834902518428862
2540,914760,51,1.074344584941864,0.5819460988044739,-0.005345588922500611,0.27813561726361513
2560,921960,51,0.9722763496637344,0.8404374122619629,-0.007560822740197181,0.03489740351215005
2580,929160,52,0.8168762701749802,0.630696228146553,-0.008569935709238053,0.05106061119586229
2600,936360,52,0.40332636296749114,0.6987018764019013,-0.006851677596569061,0.02559863729402423
2620,943560,52,0.13250447630882264,0.6682932138442993,0.0011224120855331421,0.037191161140799525
2640,950760,52,0.6125131213665008,0.8795361936092376,0.00038243979215621946,0.3122974202036858
2660,957960,52,1.0298739910125732,0.6266143202781678,-0.0007609158754348754,0.41334005603566765
2680,965160,52,0.511760681271553,0.6622811377048492,-0.004698026180267334,0.08647684268653393
2700,972360,52,-0.0010220623016357422,0.8100280463695526,-0.015828581154346467,0.08648187145590783
2720,979560,52,0.35411434531211855,0.7714651107788086,-0.00873296707868576,0.012467356398701668
2740,986760,52,0.25750185251235963,0.8126023769378662,-0.006683661625720561,0.011055178567767143
2760,993960,52,0.8535707330703736,0.7331285357475281,-0.008008083701133728,0.013074580579996109
2780,1001160,52,1.0281558233499526,0.8004739582538605,-0.007135327905416489,0.22526635080575944
2800,1008360,52,1.1270232915878295,0.7317124843597412,-0.005380694568157196,0.046221911627799275
2820,1015560,52,1.1932702136039735,0.3835062846541405,-0.005612070858478546,0.03835323364473879
2840,1022760,52,0.8744053304195404,0.4622477114200592,-0.007186904549598694,0.01229904401116073
2860,1029960,52,1.0445680159330368,0.7168803751468659,-0.004474664479494095,0.07499235467985273
2880,1037160,52,0.3720608776807785,0.6603910982608795,-0.01626099068671465,0.16676139812916518
2900,1044360,52,-0.8706293493509293,0.362078657746315,-0.007131916657090187,0.07224744521081447
2920,1051560,52,-0.975640613436699,0.12661720663309098,-0.016197515279054643,0.04033757180441171
2940,1058760,52,-0.8168312579393386,0.6990778565406799,-0.009310926403850317,0.42463110834360124
2960,1065960,52,-1.313207722902298,0.7962582409381866,-0.00870024338364601,0.06605216637253761
2980,1073160,52,-0.8107547992467881,0.6648472547531128,-0.0015786631032824517,0.2529760908335447
3000,1080360,52,-0.6365883761644363,0.5604239940643311,-0.0043752375990152356,0.0998610258102417
3020,1087560,52,-0.5136058902740479,0.5203585356473923,-0.008585198223590851,0.1319084580987692
3040,1094760,52,-0.39855600833892824,0.46622480154037477,-0.00445877443999052,0.08454720806330443
3060,1101960,52,-0.8019546908140183,0.3595110163092613,-0.0010878190398216248,0.05679114472586662
3080,1109160,52,-0.9879439586400985,0.7361842095851898,-0.004500919580459594,0.07849816083908082
3100,1116360,52,-1.1589584523439407,0.889874529838562,-0.01123344860970974,0.20117280408740043
3120,1123560,52,-0.4203274881839752,0.7122856676578522,-0.004329539090394974,0.30526366978883746
3140,1130760,52,-0.5511207497119903,0.7304189324378967,-0.011258184537291526,0.12993058934807777
3160,1137960,52,-0.4648735952377319,0.6219360947608947,-0.010495549440383911,0.06309863217175007
3180,1145160,52,0.338626024723053,0.6699249386787415,-0.013848490547388792,0.2502723135054111
3200,1152360,52,0.9583736729621887,0.4783361166715622,-0.004528764635324478,0.04442758169025183
3220,1159560,52,1.1364436292648314,0.5172376066446305,-0.007754531502723694,0.03858760800212622
3240,1166760,52,1.1844353127479552,0.46345600187778474,-0.006851616501808167,0.020891470089554786
3260,1173960,52,1.0674480736255645,0.5340331047773361,-0.0041385598480701445,0.04054862875491381
3280,1181160,52,1.0559052693843842,0.5362774193286896,-0.011679548351094127,0.047744905576109886
3300,1188360,52,1.1873523634672165,0.4816338211297989,-0.00914522260427475,0.12935124998912215
3320,1195560,52,1.2613248842954636,0.4433037847280502,-0.004092256724834442,0.035224006278440356
3340,1202760,52,1.3419683694839477,0.4019842267036438,-0.007929178699851037,0.06979802288115025
3360,1209960,52,1.5233970504999161,0.30707657933235166,-0.005249887518584728,0.03087593144737184
3380,1217160,52,1.4090883719921112,0.2900729551911354,-0.0037458635866641997,0.1390673137269914
3400,1224360,52,1.7159812551736833,0.4505989581346512,-0.006184729188680649,0.0023592928191646934
3420,1231560,51,1.5311029517650605,0.3791501522064209,-0.003555614757351577,0.020621548616327347
3440,1238760,51,1.5718546533584594,0.4280224800109863,-0.012211430072784423,0.31132626263424756
3460,1245960,51,2.071111870408058,0.5280604034662246,-0.0066560929175466296,0.01567387827672064
3480,1253160,51,2.0316976392269135,0.5656467229127884,-0.0049555361270904544,0.030379381962120533
3500,1260360,51,1.951797153353691,0.5308203816413879,-0.006601601094007492,0.03735469188541174
3520,1267560,51,1.7420555245876312,0.4242416322231293,-0.009864989668130875,0.03300066646188497
3540,1274760,51,1.5838946521282196,0.5922989964485168,-0.00788307711482048,0.24427639786154032
3560,1281960,51,1.9578055000305177,0.4989052414894104,-0.0078074194490909575,0.032099402509629726
3580,1289160,51,2.070001102089882,0.4924832135438919,-0.005469698458909988,0.029912120103836058
3600,1296360,51,1.9485319763422013,0.5803216993808746,-0.00877838411834091,0.0296440951526165
3620,1303560,51,1.7058419042825699,0.5218571364879608,-0.0041716575622558595,0.0527700612321496
3640,1310760,51,1.9248396170139312,0.4089671730995178,-0.0020953498780727385,0.0073883709963411094
3660,1317960,51,1.8065230935811996,0.6861603617668152,-0.009247343824245035,0.03433018252253532
3680,1325160,51,2.2523568040132522,0.4859142690896988,-0.0027191162109375,0.11963942479342222
3700,1332360,51,1.8489699345827102,0.6366999328136445,-0.004339994504698552,0.13321895068511366
3720,1339560,51,1.6883558714389801,0.48611310720443723,-0.0030277729034423827,0.010404677572660148
3740,1346760,52,1.290455306172371,0.537175852060318,-0.009094877168536186,0.02388240974396467
3760,1353960,52,1.3392350459098816,0.5118526160717011,-0.006939885765314102,0.007646762044169008
3780,1361160,52,1.2772592622041703,0.5009329587221145,-0.010064708441495896,0.006257555633783341
3800,1368360,52,1.2082835620641708,0.4665601342916489,-0.010362367331981658,0.025544994696974754
3820,1375560,52,1.4455843204259873,0.5148952394723892,-0.009211822971701622,0.009324218472465872
3840,1382760,52,1.4076303988695145,0.4887456089258194,-0.003221394121646881,0.012681403476744891
3860,1389960,52,1.8017696058750152,0.37188486456871034,-0.0016349419951438905,0.010670946398749947
3880,1397160,52,2.1306908535957336,0.22495251297950744,-0.009906286746263504,0.013238492049276828
3900,1404360,52,2.12901609569788,0.3978294849395752,-0.004788383468985557,0.003762935707345605
3920,1411560,51,1.7949490675330162,0.4646278709173203,-0.0032921552658081053,0.0682616624981165
3940,1418760,51,1.737696742117405,0.40920883119106294,-0.010192160867154599,0.01338647142983973
3960,1425960,51,1.526016174852848,0.42541012465953826,-0.002705729007720947,0.029679504898376764
3980,1433160,51,1.3218811497092247,0.464405158162117,-0.003448343276977539,0.021561394212767482
4000,1440360,51,1.3922577512264251,0.41453103721141815,-0.002332936227321625,0.11585619207471609
4020,1447560,51,0.9828655451536179,0.4699240058660507,-0.0004885688424110413,0.09883851874619723
4040,1454760,51,1.1191123646497727,0.4677809804677963,-0.002897351235151291,0.03869937527924776
4060,1461960,52,1.7038420456647874,0.4311610162258148,-0.0036817118525505066,0.028356718458235265
