misc/nupdates,misc/total_timesteps,fps,eprewmean
20,7560,42,-1.1070141606032848
40,14760,42,-1.6040243526299796
60,21960,42,-1.7945265705170839
80,29160,42,-1.8789790348401145
100,36360,42,-1.8773060906678438
120,43560,42,-1.902861972960333
140,50760,41,-1.8930707451701165
160,57960,41,-2.0214913874864577
180,65160,42,-1.9680029773712158
200,72360,41,-1.946777406334877
220,79560,42,-1.8857103395462036
240,86760,42,-1.8564776945114136
260,93960,42,-1.8573207360506059
280,101160,42,-1.8566247707605361
300,108360,42,-1.9346393951773644
320,115560,42,-1.9620929661393165
340,122760,42,-2.0426315900683405
360,129960,42,-2.093978954553604
380,137160,42,-2.1193591964244844
400,144360,42,-2.1106220149993895
420,151560,42,-2.0517445161938666
440,158760,42,-2.02722917586565
460,165960,42,-1.9713530868291855
480,173160,42,-1.9505749446153642
500,180360,42,-1.9265939176082612
520,187560,42,-1.9315267825126647
540,194760,42,-1.9448744776844977
560,201960,42,-2.004008314311504
580,209160,42,-2.055926759839058
600,216360,42,-2.001573159098625
620,223560,42,-2.0024438780546188
640,230760,42,-1.9496456265449524
660,237960,42,-1.918473530113697
680,245160,41,-1.9165274170041084
700,252360,41,-1.7967558923363685
720,259560,41,-1.8487925812602044
740,266760,41,-1.9049511203169822
760,273960,41,-1.9070592311024666
780,281160,41,-1.9020176494121552
800,288360,41,-1.876351839005947
820,295560,41,-1.9618697825074196
840,302760,41,-1.965554853081703
860,309960,41,-1.9891539043188096
880,317160,41,-2.0119069677591326
900,324360,41,-2.0352492219209672
920,331560,41,-2.062708735764027
940,338760,41,-2.058864462673664
960,345960,41,-2.0374248185753823
980,353160,41,-2.067222245335579
1000,360360,41,-2.067724650502205
1020,367560,41,-2.013853749334812
1040,374760,41,-2.0113026413321493
1060,381960,41,-1.9963890168070793
1080,389160,41,-1.931552326977253
1100,396360,41,-1.9036415764689445
1120,403560,41,-1.886013979613781
1140,410760,41,-1.9500651985406876
1160,417960,41,-1.923041868507862
1180,425160,41,-1.9449155607819557
1200,432360,41,-1.9599612620472908
1220,439560,41,-1.9320928111672402
1240,446760,41,-1.9286628034710884
1260,453960,41,-1.9529679629206658
1280,461160,41,-1.9486091563105583
1300,468360,41,-1.9675990852713585
1320,475560,41,-1.9491692271828651
1340,482760,41,-1.9740761137008667
1360,489960,41,-1.9958292949199676
1380,497160,41,-1.9678174030780793
1400,504360,40,-1.941702264547348
1420,511560,40,-1.9178329050540923
1440,518760,40,-1.9565263870358467
1460,525960,40,-1.9398123499751092
1480,533160,40,-1.833154377937317
1500,540360,40,-1.8141156461834909
1520,547560,40,-1.7846182391047478
1540,554760,40,-1.7582243421673776
1560,561960,40,-1.7348765394091605
1580,569160,40,-1.8116965594887733
1600,576360,40,-1.9210005900263787
1620,583560,40,-1.8854468178749084
1640,590760,40,-1.940528662800789
1660,597960,40,-1.9695700818300248
1680,605160,40,-1.8555684131383896
1700,612360,40,-1.8526081240177155
1720,619560,40,-1.8580655324459077
1740,626760,40,-1.8259621113538742
1760,633960,40,-1.7694052946567536
1780,641160,40,-1.801424542069435
1800,648360,40,-1.8292998951673507
1820,655560,40,-1.8596123737096786
1840,662760,40,-1.8543269902467727
1860,669960,40,-1.883185449242592
1880,677160,40,-1.937163206934929
1900,684360,40,-1.9380879145860672
1920,691560,40,-1.9957719147205353
1940,698760,40,-1.9390845599770545
1960,705960,40,-1.965925628244877
1980,713160,40,-1.9492803689837457
2000,720360,40,-1.9814741113781928
2020,727560,40,-1.8963094437122345
2040,734760,40,-1.7814489048719406
2060,741960,40,-1.7901663064956665
2080,749160,40,-1.7913418060541153
2100,756360,40,-1.7647126352787017
2120,763560,40,-1.7361337554454803
2140,770760,40,-1.7901304477453233
2160,777960,40,-1.92462816208601
2180,785160,40,-2.0162382927536964
2200,792360,40,-2.033674194216728
2220,799560,40,-2.058901935815811
2240,806760,40,-2.025230484008789
2260,813960,40,-2.05542948782444
2280,821160,40,-1.9953349870443344
2300,828360,40,-1.992319936156273
2320,835560,40,-1.9382992973923683
2340,842760,40,-1.9114149582386017
2360,849960,40,-1.9413435244560242
2380,857160,40,-1.8890885210037232
2400,864360,40,-1.8936195480823517
2420,871560,40,-1.8636737978458404
2440,878760,40,-1.8883701103925705
2460,885960,40,-1.9403993207216264
2480,893160,40,-1.9050293251872064
2500,900360,40,-1.9577388045191766
2520,907560,40,-1.951476671397686
2540,914760,40,-1.9251204612851143
2560,921960,40,-1.900942318737507
2580,929160,40,-1.8768431785702706
2600,936360,40,-1.967061960697174
2620,943560,40,-1.914669707417488
2640,950760,40,-1.9488333612680435
2660,957960,40,-1.9791312786936759
2680,965160,40,-2.004854093492031
2700,972360,40,-2.062911553680897
2720,979560,40,-2.031787122488022
2740,986760,40,-2.0924820071458816
2760,993960,40,-2.008905149102211
2780,1001160,40,-2.0357201740145685
2800,1008360,40,-2.034868962466717
2820,1015560,40,-1.946978976726532
2840,1022760,40,-1.864289955496788
2860,1029960,40,-1.8315337261557578
2880,1037160,40,-1.8595432767271995
2900,1044360,40,-1.8257200649380685
2920,1051560,40,-1.794738880097866
2940,1058760,40,-1.8274007588624954
2960,1065960,40,-1.8591610479354859
2980,1073160,40,-1.9687883698940276
3000,1080360,40,-1.9386848428845405
3020,1087560,40,-1.911833366751671
3040,1094760,40,-1.9107753655314446
3060,1101960,40,-1.8570579996705054
3080,1109160,40,-1.8576182314753533
3100,1116360,40,-1.726269198656082
3120,1123560,40,-1.6855837801098823
3140,1130760,40,-1.7700311517715455
3160,1137960,40,-1.7875159564614296
3180,1145160,40,-1.8716825434565545
3200,1152360,40,-1.7393000409007073
3220,1159560,40,-1.6630598583817482
3240,1166760,40,-1.6029616090655328
3260,1173960,40,-1.446117236316204
3280,1181160,40,-1.2923029655218123
3300,1188360,40,-1.2183257323503494
3320,1195560,40,-1.228032739162445
3340,1202760,40,-1.0915789139270782
3360,1209960,40,-1.0513023176789285
3380,1217160,40,-0.9012353220582008
3400,1224360,40,-0.6203217178583145
3420,1231560,40,-0.5813758701086045
3440,1238760,40,-0.2408004015684128
3460,1245960,40,-0.04922800809144974
3480,1253160,40,0.03924638032913208
3500,1260360,40,0.3761059173941612
3520,1267560,40,0.2662400910258293
3540,1274760,40,0.5993938675522804
3560,1281960,40,0.8509932792186737
3580,1289160,40,1.2356936714053155
3600,1296360,40,1.2792894488573074
3620,1303560,40,1.1006063783168794
3640,1310760,40,1.569652563035488
3660,1317960,40,1.8247839125990868
3680,1325160,40,1.5585272392630578
3700,1332360,40,1.3933384197950363
3720,1339560,41,2.013104426860809
3740,1346760,41,2.1749466294050217
3760,1353960,41,1.8868010476231576
3780,1361160,41,1.9575277000665665
3800,1368360,41,2.208155015408993
3820,1375560,41,2.742251329123974
3840,1382760,41,2.729617464244366
3860,1389960,41,2.6871125891804697
3880,1397160,41,2.7088848200440405
3900,1404360,41,2.9515381440520287
3920,1411560,41,2.9993030235171316
3940,1418760,41,2.5760883411765096
3960,1425960,41,2.785835480391979
3980,1433160,41,2.7313687920570375
4000,1440360,41,2.7074986791610716
4020,1447560,41,2.833976250588894
4040,1454760,41,2.532786910235882
4060,1461960,41,2.214337114393711
4080,1469160,41,2.2739944687485694
4100,1476360,41,2.064176143407822
4120,1483560,41,1.8246409118175506
4140,1490760,41,2.0749276727437973
4160,1497960,41,2.1374287325143815
4180,1505160,41,2.6128540152311324
4200,1512360,41,2.9911387938261034
4220,1519560,41,2.7917369791865347
4240,1526760,41,2.996722160577774
4260,1533960,41,3.1372503703832626
4280,1541160,41,2.9564122849702836
4300,1548360,41,2.651872220635414
4320,1555560,41,2.4460984763503073
4340,1562760,41,2.38298948764801
4360,1569960,41,2.375852897465229
4380,1577160,41,2.3140289583802223
4400,1584360,41,2.3875004664063453
4420,1591560,41,2.4488481894135474
4440,1598760,41,2.5180839833617212
4460,1605960,41,2.6983645087480546
4480,1613160,41,2.998941021263599
4500,1620360,41,3.2331641820073127
4520,1627560,41,3.234274090230465
4540,1634760,41,3.107076334059238
4560,1641960,41,3.0702957716584205
4580,1649160,41,2.9613725945353506
4600,1656360,41,2.8199834167957305
4620,1663560,41,2.548586943745613
4640,1670760,41,2.358103311061859
4660,1677960,41,1.9755663776397705
4680,1685160,41,2.180377191901207
4700,1692360,41,2.02079755872488
4720,1699560,41,2.1524318572878838
4740,1706760,41,1.963729182779789
4760,1713960,41,1.8793998599052428
4780,1721160,41,2.1379526686668395
4800,1728360,41,2.2318078982830047
4820,1735560,41,2.0932690227031707
4840,1742760,41,2.224623063504696
4860,1749960,41,2.0964928862452505
4880,1757160,41,2.5086902865767478
4900,1764360,41,2.290613143444061
4920,1771560,41,2.36584860265255
4940,1778760,41,2.237288929820061
4960,1785960,41,1.9172438469529152
4980,1793160,41,1.8784495261311531
5000,1800360,41,1.6380387938022614
5020,1807560,41,1.6849055171012879
5040,1814760,41,1.7525410357117652
5060,1821960,41,1.9946989443898202
5080,1829160,41,2.265811565518379
5100,1836360,41,2.5091876012086867
5120,1843560,41,2.806019358634949
5140,1850760,41,3.2893999975919725
5160,1857960,41,3.2716561156511306
5180,1865160,41,3.458359724879265
5200,1872360,41,3.3667615735530854
5220,1879560,41,2.791168906092644
5240,1886760,41,2.5938488000631335
5260,1893960,41,2.528964979350567
5280,1901160,41,2.3606731358170507
5300,1908360,41,2.0725900128483774
5320,1915560,41,1.7737051287293435
5340,1922760,41,2.2312011665105818
5360,1929960,41,2.342071099281311
5380,1937160,41,2.5349056527018545
5400,1944360,41,2.4896286076307295
5420,1951560,41,2.461272756457329
5440,1958760,41,2.5768547791242598
5460,1965960,41,2.581791844367981
5480,1973160,41,2.5432673117518423
5500,1980360,41,2.6914306166768074
5520,1987560,41,2.5918480479717254
5540,1994760,41,2.73447291046381
5560,2001960,41,2.7643772372603417
5580,2009160,41,2.443423063457012
5600,2016360,41,1.890637703537941
5620,2023560,41,1.3504755610227586
5640,2030760,41,1.4044154459238052
5660,2037960,41,1.4310052782297134
5680,2045160,41,1.4812016582489014
5700,2052360,41,1.7077388072013855
5720,2059560,41,2.0844032472372054
5740,2066760,41,2.8530895587801934
5760,2073960,41,2.8229036855697633
5780,2081160,41,2.993152326345444
5800,2088360,41,2.9804894414544107
5820,2095560,41,2.8143065097928046
5840,2102760,41,2.883187070786953
5860,2109960,41,2.961654954850674
5880,2117160,41,3.1075980719923972
5900,2124360,41,3.334699083864689
5920,2131560,41,3.170397297739983
5940,2138760,41,3.322988358139992
5960,2145960,41,3.3340485215187075
5980,2153160,41,3.2664342415332794
6000,2160360,41,3.1485189491510392
6020,2167560,41,2.9329312628507616
6040,2174760,41,2.8647021639347074
6060,2181960,41,3.0267456951737404
6080,2189160,41,2.887224905192852
6100,2196360,41,2.8684262189269067
6120,2203560,41,2.769993731081486
6140,2210760,41,2.9356311944127085
6160,2217960,41,3.288957534134388
6180,2225160,41,3.193259094655514
6200,2232360,41,3.087334997653961
6220,2239560,41,3.0340097710490226
6240,2246760,41,3.3693213394284247
6260,2253960,41,3.39677798718214
6280,2261160,41,3.0300140050053597
6300,2268360,41,2.877801584303379
6320,2275560,41,3.0068460395932197
6340,2282760,41,2.8579159504175187
6360,2289960,41,2.4881787484884264
6380,2297160,41,2.4372996336221693
6400,2304360,41,2.6456086921691893
6420,2311560,41,2.84051544547081
6440,2318760,41,2.692443627119064
6460,2325960,41,3.009969791173935
6480,2333160,41,3.16374340236187
6500,2340360,41,3.2780201303958894
6520,2347560,41,3.523310535848141
6540,2354760,41,3.43199943035841
6560,2361960,41,3.4312140688300135
6580,2369160,41,3.548841326534748
6600,2376360,41,3.195349127948284
6620,2383560,41,2.9279123571515084
6640,2390760,41,2.7064485257863997
6660,2397960,41,2.5124739891290666
6680,2405160,41,2.517036969065666
6700,2412360,41,2.4632752603292465
6720,2419560,41,2.5217558258771895
6740,2426760,41,2.6453030157089232
6760,2433960,41,2.578766320347786
6780,2441160,41,2.9270498722791674
6800,2448360,41,3.074961778521538
6820,2455560,41,3.277491171956062
6840,2462760,41,3.2314239621162413
6860,2469960,41,3.515276770591736
6880,2477160,41,3.6617847707867623
6900,2484360,41,3.688565700352192
6920,2491560,41,3.54757548481226
6940,2498760,41,3.440779176056385
6960,2505960,41,3.6200757190585136
6980,2513160,41,3.4275963404774665
7000,2520360,41,2.8810638025403024
7020,2527560,41,2.9717260390520095
7040,2534760,41,3.246536950469017
7060,2541960,41,3.025523074269295
7080,2549160,41,2.97955904006958
7100,2556360,41,2.7823660013079645
7120,2563560,41,2.9034872296452523
7140,2570760,41,2.8020616313815117
7160,2577960,41,2.623059373795986
7180,2585160,40,2.522755931913853
7200,2592360,40,2.293479602634907
7220,2599560,40,2.2474164468050004
7240,2606760,40,2.4997706511616706
7260,2613960,40,2.5842479625344277
7280,2621160,40,2.731964947879314
7300,2628360,40,2.198830238878727
7320,2635560,40,2.116160630881786
7340,2642760,40,1.5636590880155563
7360,2649960,40,1.4461429396271706
7380,2657160,40,1.4275916150212289
7400,2664360,40,1.3585454764962197
7420,2671560,40,1.4555852594971657
7440,2678760,40,1.8927046298980712
7460,2685960,40,2.3688752102851867
7480,2693160,40,3.034649007022381
7500,2700360,40,3.234256576001644
7520,2707560,40,3.3267041227221488
7540,2714760,40,3.436023163497448
7560,2721960,40,3.5569852912425994
7580,2729160,40,3.432232769727707
7600,2736360,40,3.458429544568062
7620,2743560,40,3.5939595359563827
7640,2750760,40,3.5689749056100846
7660,2757960,40,3.659393233060837
7680,2765160,40,3.879416208267212
7700,2772360,41,3.61905553817749
7720,2779560,41,3.7257507026195524
7740,2786760,41,3.5020737531781196
7760,2793960,41,3.37053413182497
