misc/nupdates,misc/total_timesteps,fps,eprewmean
20,7560,27,-1.7227864457028252
40,14760,28,-1.632384641095996
60,21960,28,-1.8134541598459084
80,29160,28,-1.8486634961196355
100,36360,28,-1.8772832553833723
120,43560,28,-1.8913951638497803
140,50760,28,-1.8507182770967483
160,57960,28,-1.9400777912139893
180,65160,28,-1.9086086797714232
200,72360,28,-1.8165745744109154
220,79560,28,-1.7014002934098245
240,86760,28,-1.6941128197312354
260,93960,28,-1.7077858412265778
280,101160,28,-1.774278520345688
300,108360,28,-1.7016306388378144
320,115560,28,-1.7217454779148103
340,122760,28,-1.7648663622140885
360,129960,28,-1.7839090368151664
380,137160,28,-1.760427850186825
400,144360,28,-1.6479839494824409
420,151560,28,-1.727195216715336
440,158760,28,-1.574842886030674
460,165960,28,-1.493551752269268
480,173160,28,-1.4006682020425796
500,180360,28,-1.3121785005927087
520,187560,28,-0.8913254263997078
540,194760,28,-0.6966059991717338
560,201960,28,-0.6901402911543846
580,209160,28,-0.6470338532328606
600,216360,28,-0.5229768267273903
620,223560,28,-0.6284930878877639
640,230760,28,-1.0462966573238373
660,237960,28,-1.0531378787755967
680,245160,28,-0.9776540678739548
700,252360,28,-0.5260270565748215
720,259560,28,-0.48900725960731506
740,266760,28,-0.408178445994854
760,273960,28,-0.06566015392541885
780,281160,28,0.22547049075365067
800,288360,28,0.4347551676630974
820,295560,28,0.4118759796023369
840,302760,28,0.20285527855157853
860,309960,28,0.26616285264492034
880,317160,28,0.46416410446166995
900,324360,28,0.2622433888912201
920,331560,28,-0.18277616381645204
940,338760,28,-0.24432024538516997
960,345960,28,-0.3555253094434738
980,353160,28,-0.39971468567848206
1000,360360,28,-0.6451038902997971
1020,367560,28,-0.19758908748626708
1040,374760,28,-0.3637459534406662
1060,381960,28,-0.4318696814775467
1080,389160,28,-0.22486382365226745
1100,396360,28,-0.20749746024608612
1120,403560,28,-0.15025982707738877
1140,410760,28,-0.00820976346731186
1160,417960,28,-0.006465103924274445
1180,425160,28,-0.007345745861530304
1200,432360,28,0.036401276290416715
1220,439560,28,0.1448814681172371
1240,446760,28,-0.050227500796318054
1260,453960,28,-0.054273191392421725
1280,461160,28,-0.2531852474808693
1300,468360,28,-0.027342001497745513
1320,475560,28,-0.04184388786554336
1340,482760,28,0.008737903535366059
1360,489960,28,0.06740780532360077
1380,497160,28,0.09628121674060822
1400,504360,28,-0.0029333370923995974
1420,511560,28,0.09887812077999115
1440,518760,28,0.10113081932067872
1460,525960,28,-0.11546532332897186
1480,533160,28,-0.09462501138448715
1500,540360,28,-0.18225127935409546
1520,547560,28,-0.1779194974899292
1540,554760,28,-0.4595740747451782
1560,561960,28,-0.44196122586727143
1580,569160,28,-0.07492306113243102
1600,576360,28,-0.17898203283548356
1620,583560,28,0.12872395396232605
1640,590760,28,0.35484113097190856
1660,597960,28,0.5830518299341202
1680,605160,28,0.8254240125417709
1700,612360,28,0.6899329322576523
1720,619560,28,0.35268780291080476
1740,626760,28,0.4312670201063156
1760,633960,28,0.15297922044992446
1780,641160,28,-0.3102494582533836
1800,648360,28,-0.19930978089571
1820,655560,28,-0.3511434796452522
1840,662760,28,-0.5896132931113243
1860,669960,28,-0.44684188097715377
1880,677160,28,-0.32748027503490446
1900,684360,28,-0.3392546594142914
1920,691560,28,-0.1906158870458603
1940,698760,28,-0.1039937424659729
1960,705960,28,0.07483846604824067
1980,713160,28,0.48257392466068266
2000,720360,28,0.25844468593597414
2020,727560,28,0.2400326544046402
2040,734760,28,0.24075895190238952
2060,741960,28,0.12357337653636932
2080,749160,28,0.012573755979537964
2100,756360,28,0.18941507250070572
2120,763560,28,0.1954619425535202
2140,770760,28,0.33766997218132017
2160,777960,28,0.2495615303516388
2180,785160,28,0.3038784372806549
2200,792360,28,0.2725590440630913
2220,799560,28,0.5283859467506409
2240,806760,28,0.4867008176445961
2260,813960,28,0.6197059527039528
2280,821160,28,0.6018265381455421
2300,828360,28,0.29071144372224805
2320,835560,28,0.3423353812098503
2340,842760,28,-0.036276716887950894
2360,849960,28,0.05997802704572677
2380,857160,28,0.06948614805936813
2400,864360,28,0.16248733669519425
2420,871560,28,0.34054758816957476
2440,878760,28,0.5951370319724083
2460,885960,28,0.7202287366986275
2480,893160,28,0.5948130682110786
2500,900360,28,0.6022799465060235
2520,907560,28,0.2794611403346062
2540,914760,28,0.28339542537927626
2560,921960,28,0.44926985919475554
2580,929160,28,0.1077250835299492
2600,936360,28,0.5274770924448967
2620,943560,28,0.4254985722899437
2640,950760,28,1.039083893597126
2660,957960,28,1.0595393419265746
2680,965160,28,0.7983858531713486
2700,972360,28,0.9278977784514427
2720,979560,28,0.714546032845974
2740,986760,28,0.32270831495523455
2760,993960,28,0.1321812704205513
2780,1001160,28,-0.05813350141048432
2800,1008360,28,-0.1834499543905258
2820,1015560,28,-0.009026328325271607
2840,1022760,28,-0.35786633044481275
2860,1029960,28,-0.036098772585392
2880,1037160,28,0.06706423610448838
2900,1044360,28,0.27578042417764664
2920,1051560,28,0.22750688314437867
2940,1058760,28,0.30329796552658084
2960,1065960,28,0.5081882232427597
2980,1073160,28,0.7241740337014199
3000,1080360,28,0.7068670085072517
3020,1087560,28,1.0196872726082802
3040,1094760,28,1.078069598376751
3060,1101960,28,1.2167568272352218
3080,1109160,28,1.1857674416899682
3100,1116360,28,1.0056189224123955
3120,1123560,28,0.8968699029088021
3140,1130760,28,0.8869774553179741
3160,1137960,28,0.33948586374521256
3180,1145160,28,0.1337241581082344
3200,1152360,28,0.3793721988797188
3220,1159560,28,0.4019590783119202
3240,1166760,28,-0.04139158070087433
3260,1173960,28,0.055051928758621214
3280,1181160,28,0.14887575030326844
3300,1188360,28,0.23213100790977478
3320,1195560,28,0.38430869847536087
3340,1202760,28,0.5202064564824105
3360,1209960,28,0.43608946710824964
3380,1217160,28,0.6506769832968712
3400,1224360,28,0.5264545983076095
3420,1231560,28,0.3421373575925827
3440,1238760,28,0.29260734766721724
3460,1245960,28,0.3381023469567299
3480,1253160,28,0.3236939775943756
3500,1260360,28,0.27151031494140626
3520,1267560,28,0.1916228023171425
3540,1274760,28,0.48427570998668673
3560,1281960,28,0.5379081556200981
3580,1289160,28,0.4529478684067726
3600,1296360,28,0.7043388107419014
3620,1303560,28,0.8347915387153626
3640,1310760,28,1.0134836900234223
3660,1317960,28,0.780868208706379
3680,1325160,28,0.8306001192331314
3700,1332360,28,0.8231430783867836
3720,1339560,28,0.6707381862401962
3740,1346760,28,0.4203561973571777
3760,1353960,28,0.5100733768939972
3780,1361160,28,0.41847529977560044
3800,1368360,28,0.46291201561689377
3820,1375560,28,0.20312238186597825
3840,1382760,28,0.1097685530781746
3860,1389960,28,0.2102069327235222
3880,1397160,28,0.2803280818462372
3900,1404360,28,0.1501324626803398
3920,1411560,28,0.1894262143969536
3940,1418760,28,-0.002873314917087555
3960,1425960,28,0.16762614101171494
3980,1433160,28,0.2508432400226593
4000,1440360,28,0.40752545893192293
4020,1447560,28,0.39742916166782377
4040,1454760,28,0.5364849919080734
4060,1461960,28,0.6703024345636368
4080,1469160,28,0.8487626886367798
4100,1476360,28,0.8801904866099357
4120,1483560,28,0.7313051027059555
4140,1490760,28,0.693283968269825
4160,1497960,28,1.005414910018444
4180,1505160,28,1.0566505378484725
4200,1512360,28,1.1884910124540329
4220,1519560,28,1.2581155407428741
4240,1526760,28,1.4016534811258317
4260,1533960,28,1.1400626960396767
4280,1541160,28,1.0589429786801339
4300,1548360,28,0.7764948260784149
4320,1555560,28,1.0590793827176095
4340,1562760,28,0.8272105887532234
4360,1569960,28,0.3930776384472847
4380,1577160,28,0.3474427792429924
4400,1584360,28,0.3493291574716568
4420,1591560,28,0.6275159507989884
4440,1598760,28,0.46370078444480894
4460,1605960,28,0.28344164580106734
4480,1613160,28,0.7819302716851234
4500,1620360,28,1.1507568177580834
4520,1627560,28,1.404715746343136
4540,1634760,28,1.358492721915245
4560,1641960,28,1.4549751722812652
4580,1649160,28,1.4578730589151383
