misc/nupdates,misc/total_timesteps,fps,eprewmean
20,7560,38,-1.0891012804848808
40,14760,38,-1.3463982185348868
60,21960,38,-1.627455399352677
80,29160,38,-1.7223566708064848
100,36360,39,-1.7050329218676061
120,43560,39,-1.7759190312365896
140,50760,38,-1.8634461283683776
160,57960,38,-1.9898316344618798
180,65160,38,-1.9602877470850943
200,72360,38,-1.9315456992387772
220,79560,38,-1.895010785162449
240,86760,37,-1.9521460136771203
260,93960,37,-1.8995636388659478
280,101160,37,-1.890645773112774
300,108360,37,-1.8801633271574973
320,115560,37,-1.881282531619072
340,122760,37,-1.8907171374559402
360,129960,37,-1.8354783368110656
380,137160,37,-1.8525389975309372
400,144360,37,-1.7766888564825059
420,151560,37,-1.7328723776340484
440,158760,37,-1.7551593148708344
460,165960,37,-1.7403993159532547
480,173160,37,-1.7065910476446151
500,180360,37,-1.6185114842653274
520,187560,37,-1.712963353395462
540,194760,37,-1.7474737465381622
560,201960,37,-1.744519715309143
580,209160,37,-1.799582378566265
600,216360,37,-1.8293720921874046
620,223560,37,-1.8903348013758658
640,230760,37,-1.8423604667186737
660,237960,37,-1.8131525152921677
680,245160,37,-1.8564458674192428
700,252360,37,-1.8545554277300835
720,259560,36,-1.8662959930300713
740,266760,36,-1.873105307519436
760,273960,36,-1.971523625254631
780,281160,36,-1.9830473452806472
800,288360,36,-1.935802385210991
820,295560,36,-1.9090389502048493
840,302760,36,-1.9218476229906083
860,309960,36,-1.9196877723932266
880,317160,36,-1.9130047059059143
900,324360,36,-1.9394260758161546
920,331560,36,-1.9829744678735732
940,338760,36,-2.010653349161148
960,345960,36,-2.02749185025692
980,353160,36,-2.030947685241699
1000,360360,36,-2.054315264225006
1020,367560,36,-2.0002189791202545
1040,374760,36,-2.0067971396446227
1060,381960,36,-1.8511759287118912
1080,389160,36,-1.8639755988121032
1100,396360,36,-1.8855474472045899
1120,403560,36,-1.7756651574373246
1140,410760,36,-1.756059238910675
1160,417960,36,-1.6943664875626565
1180,425160,36,-1.846060366332531
1200,432360,36,-1.7740158054232598
1220,439560,36,-1.7678695675730705
1240,446760,36,-1.855068686902523
1260,453960,36,-1.9006830993294717
1280,461160,36,-1.9577660572528839
1300,468360,36,-1.739678897559643
1320,475560,36,-1.775787172615528
1340,482760,36,-1.782491654753685
1360,489960,36,-1.801791478395462
1380,497160,36,-1.803396271467209
1400,504360,36,-1.716601895391941
1420,511560,36,-1.9339381814002992
1440,518760,36,-1.9767827731370926
1460,525960,36,-1.8068615767359733
1480,533160,36,-1.677433994114399
1500,540360,36,-1.6463631013035773
1520,547560,36,-1.7033395996689797
1540,554760,36,-1.6889881891012193
1560,561960,36,-1.6509226167201996
1580,569160,36,-1.7604353833198547
1600,576360,36,-1.8937283533811569
1620,583560,36,-1.744438515305519
1640,590760,36,-1.7231220346689224
1660,597960,36,-1.7001590347290039
1680,605160,36,-1.7149117839336396
1700,612360,36,-1.6765524646639824
1720,619560,36,-1.6564983978867531
1740,626760,36,-1.7376983401179313
1760,633960,36,-1.8007870727777482
1780,641160,36,-1.7094240754842758
1800,648360,36,-1.7175582534074783
1820,655560,36,-1.5416000097990037
1840,662760,36,-1.5304578366875647
1860,669960,36,-1.5669001051783562
1880,677160,36,-1.4931465375423432
1900,684360,36,-1.5618715000152588
1920,691560,36,-1.3211092287302018
1940,698760,36,-1.383540711402893
1960,705960,36,-1.37435818195343
1980,713160,36,-1.2329918766021728
2000,720360,36,-1.1339315262436866
2020,727560,36,-1.1112637999653816
2040,734760,36,-1.2715105000138283
2060,741960,36,-1.2286067256331443
2080,749160,37,-1.2277368316054345
2100,756360,37,-1.2864245983958245
2120,763560,37,-1.5315817564725875
2140,770760,37,-1.470250856280327
2160,777960,37,-1.5071019434928894
2180,785160,37,-1.558393875360489
2200,792360,37,-1.6986073291301726
2220,799560,37,-1.6727384066581725
2240,806760,37,-1.7186617395281791
2260,813960,37,-1.6534864601492882
2280,821160,37,-1.5101867166161538
2300,828360,37,-1.3790791049599647
2320,835560,37,-1.3187158119678497
2340,842760,37,-1.1019809398055076
2360,849960,37,-1.1026519161462784
2380,857160,37,-0.7563365218043328
2400,864360,37,-0.5912104508280754
2420,871560,37,-0.6338212916254997
2440,878760,37,-0.6213555026054383
2460,885960,37,-0.6555773442983628
2480,893160,37,-0.7801416295766831
2500,900360,37,-1.0664026707410812
2520,907560,37,-1.4398218041658402
2540,914760,37,-1.550338455438614
2560,921960,37,-1.6748919287323951
2580,929160,37,-1.662846932709217
2600,936360,37,-1.5831153020262718
2620,943560,37,-1.4346018078923226
2640,950760,37,-1.1818216356635094
2660,957960,37,-1.0469211164116858
2680,965160,37,-1.0446427962183953
2700,972360,37,-0.9856419065594673
2720,979560,37,-1.0338878473639488
2740,986760,37,-1.0904103967547416
2760,993960,37,-1.1539283975958825
2780,1001160,37,-1.2511489370465279
2800,1008360,37,-1.175140868127346
2820,1015560,37,-1.2119979065656663
2840,1022760,37,-0.9751726585626602
2860,1029960,37,-0.9762760251760483
2880,1037160,37,-0.9852056562900543
2900,1044360,37,-0.7893819266557693
2920,1051560,37,-0.800878614783287
2940,1058760,37,-0.8403338700532913
2960,1065960,37,-0.804248937368393
2980,1073160,37,-0.6165345919132232
3000,1080360,37,-0.2941536337137222
3020,1087560,38,-0.4558204498887062
3040,1094760,38,-0.3231161567568779
3060,1101960,38,-0.17750725597143174
3080,1109160,38,-0.20598429173231125
3100,1116360,38,-0.3011135610938072
3120,1123560,38,-0.18761723428964616
3140,1130760,38,-0.28485996901988986
3160,1137960,38,-0.49718447744846345
3180,1145160,38,-0.3142975291609764
3200,1152360,38,-0.2956202939152718
3220,1159560,38,-0.45035436540842055
3240,1166760,38,-0.5559882125258446
3260,1173960,38,-0.5897725746035576
3280,1181160,38,-0.6776568946242333
3300,1188360,38,-0.6765007811784745
3320,1195560,38,-0.44275557100772855
3340,1202760,38,-0.3736975175142288
3360,1209960,38,-0.4119605216383934
3380,1217160,38,-0.46176586955785753
3400,1224360,38,-0.5413117381930351
3420,1231560,38,-0.6970282718539238
3440,1238760,38,-0.8625174644589424
3460,1245960,38,-0.8138129535317421
3480,1253160,38,-0.72531862616539
3500,1260360,38,-0.6304031205177307
3520,1267560,38,-0.41280167043209076
3540,1274760,38,-0.3035541135072708
3560,1281960,38,-0.13139637768268586
3580,1289160,38,0.17268721997737885
3600,1296360,38,0.11105614930391311
3620,1303560,38,0.018082826435565948
3640,1310760,38,0.33120767563581466
3660,1317960,38,0.20281223803758622
3680,1325160,38,0.13709085643291474
3700,1332360,38,-0.18556455582380293
3720,1339560,38,-0.1929626613855362
3740,1346760,38,-0.14826220095157625
3760,1353960,38,-0.04988848090171814
3780,1361160,38,-0.08317881345748901
3800,1368360,38,0.12134403258562088
3820,1375560,38,0.13413163125514985
3840,1382760,38,0.22703894317150117
3860,1389960,38,0.18961548209190368
3880,1397160,38,0.17213807880878448
3900,1404360,38,0.03716765999794006
3920,1411560,38,0.16351568579673767
3940,1418760,38,0.09565747797489166
3960,1425960,38,-0.3311509743332863
3980,1433160,38,-0.5033871534466744
4000,1440360,38,-0.6455801948904991
4020,1447560,38,-0.9110062003135682
4040,1454760,38,-0.9833846890926361
4060,1461960,38,-0.9479318842291832
4080,1469160,38,-0.647877128124237
4100,1476360,38,-0.5596791237592698
4120,1483560,38,-0.4389732304215431
4140,1490760,38,-0.21056081146001815
4160,1497960,38,-0.24437482923269271
4180,1505160,38,-0.10404705852270127
4200,1512360,38,-0.3358562457561493
4220,1519560,38,-0.2288980722427368
4240,1526760,38,-0.051732307374477385
4260,1533960,38,0.06444213181734085
4280,1541160,38,0.00862986445426941
4300,1548360,38,0.30377859234809873
4320,1555560,38,0.06869097262620925
4340,1562760,38,0.3486102071404457
4360,1569960,38,0.2048540708422661
4380,1577160,38,0.15879080265760423
4400,1584360,38,0.3065350559353828
4420,1591560,38,-0.04592325359582901
4440,1598760,39,0.11945800513029098
4460,1605960,39,-0.18517883718013764
4480,1613160,39,-0.5845384430885315
4500,1620360,39,-0.697758606672287
4520,1627560,39,-0.8621882021427154
4540,1634760,39,-0.6052334010601044
4560,1641960,39,-0.5283277562260628
4580,1649160,39,-0.3485835352540016
4600,1656360,39,0.0727652820944786
4620,1663560,39,0.26893047481775284
4640,1670760,39,0.06215015739202499
4660,1677960,39,0.11050672024488449
4680,1685160,39,0.2920394739508629
4700,1692360,39,0.3227525335550308
4720,1699560,39,0.0796366959810257
4740,1706760,39,0.05695552945137024
4760,1713960,39,0.13320697903633116
4780,1721160,39,0.2031573995947838
4800,1728360,39,0.05696681946516037
4820,1735560,39,-0.013134365379810333
4840,1742760,39,0.18185208171606063
